shoutout###14:650322###650322::shoutout_classic:bbc:title:Title:bb:bb:4663966fbf093564,"[div class=""mh"" style=""text-align: hereit;""]Bestellung ändern [/div]"
shoutout###14:650322###650322::shoutout_classic:bbc:description:Description:bb:bb:11bde29bf9f389c1,"[div class=""pr"" style=""text-align: center;""][size=14][color=inherit]Erfahren Sie, wie Sie bereits aufgegebene Bestellungen ändern können. 
[/color][/size][/div]"
shoutout###14:650322###1296197::shoutout_action:ss:text:Action Text:bb:bb:3da8a8496c87efad,Bestellung ändern[div][/div]
shoutout###14:650322###1296198::shoutout_action:ss:text:Action Text:bb:bb:51d9cbdd141e9e48,"[swt=1872286]Zeigen Sie mir später[/swt][span style=""font-weight:400 !important; ""] [/span]"
smartwalkthru###19:2187300###1785104::smartwalkthru:ss:name:Name:tx:tx:6553fc261040fe9f,|BIT SWT|Bestellung ändern
smartwalkthru###19:2187300###1785104::smartwalkthru:ms:description:Description:tx:tx:a08b6bd9c3237c51,"Erfahren Sie, wie Sie Ihre kürzlich aufgegebenen Bestellungen einfach ändern können."
smartwalkthru###19:2187300###14855793::balloon_classic:bbc:title:Title:bb:bb:580c13ea08ebbe67,"[div class=""num2Icon""][/div][div class=""mh""]Neue Bestellung direkt von der Homepage ändern [/div]"
smartwalkthru###19:2187300###14855793::balloon_classic:bbc:description:Description:bb:bb:0b1c6512459dbf74,"Sie können Ihre letzten Bestellungen über die Schaltfläche „Bestellaktionen“ ändern oder stornieren.[div]
Klicken Sie zum Fortfahren auf „Weiter“.[/div]"
smartwalkthru###19:2187300###14855794::balloon_classic:bbc:title:Title:bb:bb:bd933b92189b08f9,"[div class=""num1Icon""][/div][div class=""mh""]Gehen Sie über das Menü zu „Alle Bestellungen anzeigen"" [/div]"
smartwalkthru###19:2187300###14855795::balloon_classic:bbc:title:Title:tx:tx:930f61862e9b03ed,"Klicken Sie auf eine bestimmte Bestellnummer, um die Seite mit den Bestelldetails zu öffnen und die verfügbaren Aktionen anzuzeigen"
smartwalkthru###19:2187300###14855799::balloon_classic:bbc:title:Title:tx:tx:840e0d750d1e8944,Sie können diese Bestellung nicht ändern
smartwalkthru###19:2187300###14855799::balloon_classic:bbc:description:Description:tx:tx:7cf76dfe34e40cef,"Dieser Auftrag kann nicht mehr online storniert oder geändert werden, da die Frist überschritten wurde.

Sie können sich an den Kundenbetrieb wenden, um zu sehen, ob er die Bestellung in Ihrem Namen stornieren kann."
smartwalkthru###19:2187300###14855800::balloon_classic:bbc:title:Title:tx:tx:8ae7caf1e6d98bb7,Möglicherweise haben sich Ihre Lieferdaten geändert
smartwalkthru###19:2187300###14855800::balloon_classic:bbc:description:Description:bb:bb:4ebeb2097451b321,"Denken Sie daran, Ihre Daten zu überprüfen, sobald Sie alle Ihre Aktualisierungen vorgenommen haben.[div]
Sie haben den Leitfaden für die Änderung Ihrer Bestellung ausgefüllt.[/div][div]
[/div][div]Sie können Ihre Bestellung jetzt wie gewohnt überprüfen und aufgeben.[/div]"
smartwalkthru###19:2187300###14855802::balloon_classic:bbc:title:Title:tx:tx:b87afd774fe7f772,"Prüfen Sie, wie viel Zeit für die Änderung dieser Bestellung bleibt "
smartwalkthru###19:2187300###14855803::balloon_classic:bbc:title:Title:tx:tx:7742749bde27e733,Hier ändern oder stornieren
smartwalkthru###19:2187300###14855803::balloon_classic:bbc:description:Description:bb:bb:55b0dbc947978a40,"Durch das Ändern einer Bestellung wird der Warenkorb geöffnet, sodass Sie Artikel hinzufügen, entfernen oder aktualisieren können.[div]
Sie sehen nur die Optionen „Abbrechen“ und „Ändern“, wenn Sie sich noch innerhalb der Sperrzeit befinden, um Änderungen vorzunehmen.[/div]"
smartwalkthru###19:2187300###14855804::balloon_classic:bbc:title:Title:tx:tx:0fee04096707a083,Aktualisieren Sie die Produkte in Ihrem Warenkorb
smartwalkthru###19:2187300###14855804::balloon_classic:bbc:description:Description:tx:tx:f4f3dd664e48b35a,"Sie können die Menge aktualisieren oder Produkte hinzufügen und entfernen.
"
smartwalkthru###19:2187300###14855805::balloon_classic:bbc:title:Title:tx:tx:4efa9e35a17b2b1f,Ihre Abholdaten haben sich möglicherweise geändert
smartwalkthru###19:2187300###14855805::balloon_classic:bbc:description:Description:bb:bb:94b13be70bb2a9d2,"Denken Sie daran, Ihre Daten zu überprüfen, sobald Sie alle Ihre Aktualisierungen vorgenommen haben.[div]
Sie haben den Leitfaden für die Änderung Ihrer Bestellung ausgefüllt.  [/div][div]
[/div][div]Sie können jetzt Ihre Bestellung wie gewohnt überprüfen und aufgeben.
[/div]"
smartwalkthru###19:2187300###14855848::balloon_classic:bbc:title:Title:tx:tx:08e3e6083155f20a,Überprüfen Sie Ihr Konto und Ihre Lieferadresse
smartwalkthru###19:2187300###14855849::balloon_classic:bbc:title:Title:tx:tx:8f0eff8f549cd338,"Prüfen Sie, ob die Bestellung für Änderungen geeignet ist"
smartwalkthru###19:2187300###14855849::balloon_classic:bbc:description:Description:bb:bb:516f90fa08ae3424,"Es gibt zwei Möglichkeiten zur Überprüfung:
[ul][li]Klicken Sie auf eine bestimmte Bestellnummer, um die Seite mit den Bestelldetails zu öffnen und die verfügbaren Aktionen anzuzeigen.[/li][li]Klicken Sie auf die drei Punkte, um zu sehen, welche Aktionen für jede Bestellung verfügbar sind.[/li][/ul]"
smartwalkthru###19:2187300###14855851::balloon_classic:bbc:title:Title:tx:tx:71f2bfe443d85035,"Klicken Sie auf eine Bestellnummer, um die verfügbaren Optionen anzuzeigen"
smartwalkthru###19:2187300###14855852::balloon_classic:bbc:title:Title:tx:tx:4adc676d85515a0c,Überprüfen Sie Ihre verfügbaren Optionen
smartwalkthru###19:2187300###14855852::balloon_classic:bbc:description:Description:bb:bb:d5567ae2f78af919,"Hier werden alle Aktionen aufgelistet, die derzeit für diesen Auftrag verfügbar sind. [div]
Die Optionen „Bestellung ändern“ und „Bestellung stornieren“ sind nicht sichtbar, sobald Sie die [b]Stichzeit[/b] für Änderungen überschritten haben.[/div][div]
Sie können den Leitfaden nur fortsetzen, wenn Sie derzeit eine Bestellung haben, die berechtigt ist. Wenn nicht, kehren Sie zurück, wenn Sie eine neue Bestellung aufgegeben haben, und wählen Sie den Leitfaden „Bestellung ändern“ aus dem Learning Center.[/div]"
shoutout###14:650348###650348::shoutout_classic:bbc:title:Title:bb:bb:8dd3a93228ff0e50,"[div class=""mh""][size=20]Suchen Sie nach Ihrer Download-Anfrage [/size][/div]"
shoutout###14:650348###650348::shoutout_classic:bbc:description:Description:bb:bb:fb94df7fa4dac2a5,"[div class=""pr""][size=16]Sie können mehr als 100 Dokumente in einer einzigen Datei herunterladen.

[/size][/div][div class=""pr""][size=16]Gehen Sie zum Abrechnungsbereich in Financials und Dokumenten, um einen Batch-Download durchzuführen.[/size]
[/div]"
shoutout###14:650348###1296249::shoutout_action:ss:text:Action Text:tx:tx:fdd719956cb14869,Fortfahren
shoutout###14:650348###1296250::shoutout_action:ss:text:Action Text:bb:bb:abe6db37471b7321,"[span style=""font-weight:400 !important; ""][swt=1872286]Zeigen Sie mich später[/swt][/span]"
custom_image###51:545441###545441::custom_image:ss:text:Text:tx:tx:22f700b15dd4881b,Erfahren Sie mehr über Batch-Downloads
smartwalkthru###19:2187414###1785202::smartwalkthru:ss:name:Name:tx:tx:b9aa7c55a0cc889e,|BIT BEC| Hervorhebung zum Herunterladen in Bearbeitung
smartwalkthru###19:2187414###14856494::balloon_classic:bbc:title:Title:tx:tx:c3a1468f72afde6e,Hier finden Sie Download-Benachrichtigungen
smartwalkthru###19:2187414###14856494::balloon_classic:bbc:description:Description:bb:bb:d1733b363dbf2451,"[div]Sobald ein Download fertig ist, wird hier ein roter Punkt angezeigt. Klicken Sie auf das Symbol, um die Benachrichtigung anzuzeigen.[/div][div]
Dateien sind ab Anforderung 30 Tage lang verfügbar.
[/div]"
smartwalkthru###19:2187415###1785203::smartwalkthru:ss:name:Name:tx:tx:e3182e97d696940c,|BIT SH+BEC| Was sind Batch-Downloads?
smartwalkthru###19:2187415###14856495::balloon_classic:bbc:title:Title:tx:tx:daa940c9ee70222c,Was sind Batch-Downloads?
smartwalkthru###19:2187415###14856495::balloon_classic:bbc:description:Description:bb:bb:7a6d4a19cd6fbf55,"Batch-Downloads werden erstellt, wenn Sie 100 oder mehr Dokumente zum gleichzeitigen Herunterladen auswählen.  [div]
[/div][div]Dokumente werden in einer .zip-Datei zusammengestellt, die 30 Tage lang aufbewahrt wird. Sie können jederzeit bis zu 25 Batch-Downloads speichern.   [/div][div]
[/div][div]Verwalten, laden oder entfernen Sie .zip-Dateien von Ihrem Speicher auf der Seite „Batch-Downloads“ im Menü „Finanzen und Dokumente“. 
[/div]"